Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
Medicin, København K, Studiestart: sommer- og vinterstart; 559 ; 35 ; 2.533 ; 1.569 ; 11,1 ;10,9
Folkesundhedsvidenskab, København K, Studiestart: sommerstart; 70 ; 9 ; 243 ; 89 ; 9,2 ;8,4
Farmaci, København K, Studiestart: sommerstart; 240 ; 20 ; 677 ; 275 ; 7,9 ;6,8
Odontologi, København K, Studiestart: sommerstart; 98 ; 9 ; 645 ; 286 ; 10,3 ;10,0
Veterinærmedicin, København K, Studiestart: sommerstart; 185 ; 12 ; 687 ; 503 ; 10,6 ;10,5
It og sundhed, København K, Studiestart: sommerstart; 45 ;; 167 ; 33 ; Alle optaget, ledige pladser ;
Professionsbachelor i tandpleje, København K, Studiestart: sommerstart; 74 ; 5 ; 424 ; 198 ; 8,7 ;8,4
Biokemi, København K, Studiestart: sommerstart; 119 ; 11 ; 483 ; 112 ; 7,8 ;Alle optaget, ledige pladser
Datalogi, København K, Studiestart: sommerstart; 179 ; 14 ; 595 ; 271 ; 7,4 ;6,6
Forsikringsmatematik, København K, Studiestart: sommerstart; 53 ; 5 ; 239 ; 105 ; 10,8 ;10,6
Fysiske fag (astronomi, biofysik, fysik, geofysik, meteorologi), København K, Studiestart: sommerstart; 156 ; 5 ; 345 ; 176 ;6;Alle optaget, ledige pladser
Biologi - Bioteknologi, København K, Studiestart: sommerstart; 67 ; 5 ; 306 ; 57 ; 7,1 ;Alle optaget, ledige pladser
Husdyrvidenskab, København K, Studiestart: sommerstart; 70 ; 7 ; 196 ; 44 ; 7,6 ;Alle optaget, ledige pladser
Jordbrugsøkonomi, København K, Studiestart: sommerstart; 49 ;; 110 ; 42 ; Alle optaget, ledige pladser ;
Landskabsarkitektur, København K, Studiestart: sommerstart; 66 ; 5 ; 170 ; 82 ; 7,3 ;6,0
Fødevarer og ernæring, København K, Studiestart: sommerstart; 102 ;; 225 ; 85 ; Alle optaget, ledige pladser ;
Naturressourcer, København K, Studiestart: sommerstart; 89 ;; 205 ; 84 ; Alle optaget, ledige pladser ;
Professionsbachelor, skov- og landskabsingeniør, København K, Studiestart: sommerstart; 63 ; 10 ; 125 ; 86 ; 8,8 ;Alle optaget, ledige pladser
Biologi, København K, Studiestart: sommerstart; 229 ; 19 ; 558 ; 229 ; 6,7 ;Alle optaget, ledige pladser
Geografi og geoinformatik, København K, Studiestart: sommerstart; 99 ;; 206 ; 81 ; Alle optaget, ledige pladser ;
Geologi-geoscience, København K, Studiestart: sommerstart; 67 ;; 145 ; 68 ; Alle optaget, ledige pladser ;
Idræt, København K, Studiestart: sommerstart; 126 ; 15 ; 527 ; 260 ; 8,6 ;8,1
Kemi, København K, Studiestart: sommerstart; 74 ;; 261 ; 68 ; Alle optaget, ledige pladser ;
Matematik, København K, Studiestart: sommerstart; 146 ; 17 ; 498 ; 166 ; 7,1 ;2,8
Matematik-økonomi, København K, Studiestart: sommerstart; 63 ; 8 ; 313 ; 82 ; 8,6 ;6,6
Molekylær biomedicin, København K, Studiestart: sommerstart; 63 ; 6 ; 299 ; 100 ; 11,9 ;11,2
Nanoscience, København K, Studiestart: sommerstart; 52 ; 3 ; 209 ; 47 ; 5,8 ;Alle optaget, ledige pladser
Mellemøstens sprog og samfund (arabisk), København K, Studiestart: sommerstart; 56 ; 8 ; 266 ; 109 ; 7,3 ;6,5
Audiologopædi, København K, Studiestart: sommerstart; 38 ; 5 ; 171 ; 79 ; 9,3 ;8,9
Dansk, København K, Studiestart: sommerstart; 219 ; 24 ; 596 ; 202 ; 6,9 ;5,1
Engelsk, København K, Studiestart: sommerstart; 183 ; 19 ; 700 ; 233 ; 7,0 ;6,1
Europæisk etnologi, København K, Studiestart: sommerstart; 63 ; 8 ; 289 ; 73 ; 8,3 ;7,2
Film- og medievidenskab, København K, Studiestart: sommerstart; 88 ; 9 ; 708 ; 339 ; 10,8 ;10,6
Filosofi, København K, Studiestart: sommerstart; 76 ; 9 ; 461 ; 139 ; 9,4 ;8,6
Forhistorisk arkæologi, København K, Studiestart: sommerstart; 31 ; 6 ; 157 ; 45 ; 7,5 ;6,6
Fransk sprog og kultur, København K, Studiestart: sommerstart; 43 ;; 126 ; 38 ; Alle optaget, ledige pladser ;
Historie, København K, Studiestart: sommerstart; 166 ; 17 ; 702 ; 243 ; 8,0 ;7,3
Italiensk sprog og kultur, København K, Studiestart: sommerstart; 28 ; 3 ; 95 ; 42 ; 5,8 ;5,3
