Teknisk videnskab (civilingeniør) Arkitektur og design, Aalborg, Studiestart: sommerstart;110;;229;115; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Bioteknologi, Aalborg, Studiestart: sommerstart;40;;103;32; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Byggeri og anlæg, Aalborg, Studiestart: sommerstart;50;;94;50; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Internetteknologier og computersystemer, Aalborg, Studiestart: sommerstart;12;;34;15; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Elektronik og it, Aalborg, Studiestart: sommerstart;50;;101;49; Alle optaget, ledige pladser ;
Bachelor of Science (BSc) in Engineering (Robotics), Aalborg, Study start: Summer start;64;;230;86; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Globale forretningssystemer, Aalborg, Studiestart: sommerstart;46;;90;48; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Maskin og produktion, Aalborg, Studiestart: sommerstart;35;;69;33; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Miljøteknologi, Aalborg, Studiestart: sommerstart;21;;47;19; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Kemiteknologi, Aalborg, Studiestart: sommerstart;26;;64;25; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Nanoteknologi, Aalborg, Studiestart: sommerstart;20;;55;20; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) By-, energi- og miljøplanlægning, Aalborg, Studiestart: sommerstart;17;;73;20; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Software, Aalborg, Studiestart: sommerstart;141;;240;139; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Sundhedsteknologi, Aalborg, Studiestart: sommerstart;50;;115;38; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) By-, energi- og miljøplanlægning, København SV, Studiestart: sommerstart;42;;101;36; Alle optaget, ledige pladser ;
Teknoantropologi, København SV, Studiestart: sommerstart;69;5;173;55;4,7;Alle optaget
Bachelor of Science (BSc) in Engineering (Sustainable Biotechnology), København SV, Study start: Summer start;27;;165;53; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Energi, Aalborg, Studiestart: sommerstart;47;;102;46; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Bæredygtigt design, København SV, Studiestart: sommerstart;52;5;157;51;5,6;Alle optaget
Bachelor of Science (BSc) in Engineering (Manufacturing and Operations Engineering), København SV, Study start: Summer start;29;;150;29; Alle optaget, ledige pladser ;
Landinspektørvidenskab, København SV, Studiestart: sommerstart;24;;44;24; Alle optaget, ledige pladser ;
Landinspektørvidenskab, Aalborg, Studiestart: sommerstart;28;;57;30; Alle optaget, ledige pladser ;
Bachelor of Science (BSc) in Engineering (IT, Communication and New Media), København SV, Study start: Summer start;54;;289;90; Alle optaget, ledige pladser ;
Teknoantropologi, Aalborg, Studiestart: sommerstart;32;;90;27; Alle optaget, ledige pladser ;
Diplomingeniør, eksportteknologi, Aalborg, Studiestart: sommerstart;46;;98;47; Alle optaget, ledige pladser ;
Diplomingeniør, kemi- og bioteknologi, Aalborg, Studiestart: sommerstart;24;;87;20; Alle optaget, ledige pladser ;
Diplomingeniør, byggeri og anlæg, Aalborg, Studiestart: sommerstart;33;;97;36; Alle optaget, ledige pladser ;
Diplomingeniør, bæredygtig energiteknik, Aalborg, Studiestart: sommerstart;34;;65;35; Alle optaget, ledige pladser ;
Diplomingeniør, elektronik, Aalborg, Studiestart: sommerstart;15;;44;14; Alle optaget, ledige pladser ;
Diplomingeniør, elektronik og datateknik, Aalborg, Studiestart: sommerstart;5;;32;5; Alle optaget, ledige pladser ;
Diplomingeniør, maskinteknik, Aalborg, Studiestart: sommerstart;25;;68;25; Alle optaget, ledige pladser ;
Diplomingeniør, nanoteknologi, Aalborg, Studiestart: sommerstart;7;;38;4; Alle optaget, ledige pladser ;
Biologi, Aalborg, Studiestart: sommerstart;62;;175;50;3,6;Alle optaget, ledige pladser
Datalogi, Aalborg, Studiestart: sommerstart;74;;192;67; Alle optaget, ledige pladser ;
Fysik, Aalborg, Studiestart: sommerstart;22;;55;20; Alle optaget, ledige pladser ;
Geografi, Aalborg, Studiestart: sommerstart;25;;48;25; Alle optaget, ledige pladser ;
Informatik, Aalborg, Studiestart: sommerstart;26;;103;18; Alle optaget, ledige pladser ;
Kemi, Aalborg, Studiestart: sommerstart;12;;51;11; Alle optaget, ledige pladser ;
Matematik, Aalborg, Studiestart: sommerstart;32;;87;33; Alle optaget, ledige pladser ;
Medialogy, København SV, Study start: Summer start;112;9;356;136;6;4,8
Medialogy, Aalborg, Study start: Summer start;111;;261;129;3,5;Alle optaget, ledige pladser
Teknisk videnskab (civilingeniør) Matematik-teknologi, Aalborg, Studiestart: sommerstart;15;;44;15; Alle optaget, ledige pladser ;
Matematik-økonomi, Aalborg, Studiestart: sommerstart;28;;83;26; Alle optaget, ledige pladser ;
Medicin, Aalborg, Studiestart: sommerstart;110;12;1.676;274;10,8;10,6
Idræt, Aalborg, Studiestart: sommerstart;124;;357;96; Alle optaget, ledige pladser ;
Medicin med industriel specialisering, Aalborg, Studiestart: sommerstart;143;8;364;116;6,9;5,4
Teknisk videnskab (civilingeniør) Produkt- og designpsykologi, Aalborg, Studiestart: sommerstart;14;;47;15; Alle optaget, ledige pladser ;
Informationsteknologi, Aalborg, Studiestart: sommerstart;44;;152;44; Alle optaget, ledige pladser ;
Art and Technology, Aalborg, Study start: Summer start;43;;142;52; Alle optaget, ledige pladser ;
Interaktionsdesign, Aalborg, Studiestart: sommerstart;52;;132;46; Alle optaget, ledige pladser ;
Anvendt filosofi, Aalborg, Studiestart: sommerstart;69;;171;55; Alle optaget, ledige pladser ;
