aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_statusaar;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;;;;;branchetxt1;branchetxt2;branchetxt3;branchetxt4;branchepct1;branchepct2;branchepct3;branchepct4;offt_privat;branche_statusaar;branche_n;maanedloenp25_10aar;maanedloen_10aar;maanedloenp75_10aar;maanedloen_10aar_n;maanedloen_10aar_statusaar;ledighed_10aar;ledighed_10aar_statusaar;ledighed_10aar_n;ivaerksaetteri;ivaerksaetteri_statusaar;ivaerksaetteri_n;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdsform_faste_aften_nat_pct;arbejdsform_fastedagtimer_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_n;arbejdsform_statusaar;arbejdstid_timer;arbejdstid_n;arbejdstid_statusaar;dimbesvarelser_antal;dimbesvarelser_pct;fagligmiljo_likert;fagligmiljo_n;fagligmiljo_statusaar;fagligtmotivation_likert;fagligtmotivation_n;fagligtmotivation_statusaar;foerstejob1pct;foerstejob2pct;foerstejob3pct;foerstejob4pct;foerstejob1tx;foerstejob2tx;foerstejob3tx;foerstejob4tx;foerstejob_n;foerstejob_statusaar;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;jobskabende_n;jobskabende_statusaar;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;kompetencerudd_n;kompetencerudd_statusaar;kvalitet_likert;kvalitet_n;kvalitet_statusaar;medstuderende_likert;medstuderende_n;medstuderende_statusaar;relevans_overens_udd_job_likert;relevans_overens_udd_job_n;rel_over_udd_job_statusaar;ruster_til_job_likert;ruster_til_job_n;ruster_til_job_statusaar;socialtmiljo_likert;socialtmiljo_n;socialtmiljo_statusaar;socialtmotivation_likert;socialtmotivation_n;socialtmotivation_statusaar;studbesvarelser_antal;studbesvarelser_pct;tidsforbrug_frivilligtxt;tidsforbrug_selvstudiumtxt;tidsforbrug_studiejobtxt;tidsforbrug_undervisningtxt;tidsforbrug_n;tidsforbrug_statusaar;udbytte_undervisning_likert;udbytte_undervisning_n;udb_undervisning_statusaar;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;udlandet_n;udlandet_statusaar;undervisere_engagerede_likert;undervisere_engagerede_n;und_engagerede_statusaar;undervisere_faglighed_likert;undervisere_faglighed_n;und_faglighed_statusaar;undervisere_feedback_likert;undervisere_feedback_n;und_feedback_statusaar;undervisere_formidling_likert;undervisere_formidling_n;und_formidling_statusaar;undervisere_kontakt_likert;undervisere_kontakt_n;und_kontakt_statusaar;undervisningsform_n;undervisningsform_statusaar
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/erhvervssprog/erhvervssprog-og-international-virksomhedskommunikation;55910,55920,55930,55940,55950,55960,55970,55980,55990,56210,56220,56230,56240,56800,64510,97160,55770,55760,55720,55710,55890,69140,69410,56100,30040;Kandidatuddannelse;Aalborg;1 år og 10 måneder;10;2013-2015;80;Projektarbejde;Klasseundervisning;Selvstudie;Gruppearbejde;Forelæsninger;;;;;Undervisning;Industri;Videnservice;Øvrige brancher;24;16;13;47;69;2012-2014;1061;27.200;34.700;41.600;46;2013-2015;5;2013-2016;38;5;2011-2013;85;0;0;0;29;65;0;6;17;2016/2017;37;16;2016/2017;29;43;3,56;25;2016/2017;3,08;24;2016/2017;50;22;11;11;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Andet;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;18;2016/2017;De kompetencer jeg fik fra uddannelsen;Praktik;Netværk;Studiejob;Udlandsophold;20;2016/2017;Formidlingsevner;Fremmedsprogsfærdigheder;Min evne til at arbejde struktureret og overholde deadlines;Evnen til at samarbejde;Kulturforståelse;17;2016/2017;3,33;21;2016/2017;2,91;23;2016/2017;3,87;15;2016/2017;4,19;16;2016/2017;3,38;24;2016/2017;3,5;24;2016/2017;28;33;1;23;13;27;21;2016/2017;3,5;24;2016/2017;6;94;0;18;2016/2017;3,88;24;2016/2017;4,08;24;2016/2017;3,29;24;2016/2017;3,33;24;2016/2017;4,04;24;2016/2017;23;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/kultur-kommunikation-og-globalisering;64580,6148;Kandidatuddannelse;Aalborg;2 år og 0 måneder;9;2013-2015;371;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Klasseundervisning;;;;;Undervisning;Handel;Rejsebureauer rengøring og anden operationel service;Øvrige brancher;17;15;13;55;68;2012-2014;360;;;;;Ingen data;;Ingen data;;;Ingen data;;1;6;1;40;35;4;19;80;2016/2017;37;79;2016/2017;110;30;3,57;60;2016/2017;3,4;60;2016/2017;37;21;12;11;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;84;2016/2017;Praktik;De kompetencer jeg fik fra uddannelsen;Netværk;Studiejob;Frivilligt arbejde;79;2016/2017;Min evne til at arbejde struktureret og overholde deadlines;Formidlingsevner;Evnen til at samarbejde;Analytiske kompetencer;Tilegnelse af ny viden;73;2016/2017;3,6;58;2016/2017;3,37;59;2016/2017;3,04;79;2016/2017;3,29;79;2016/2017;3,78;60;2016/2017;3,88;60;2016/2017;69;32;2;35;8;34;58;2016/2017;3,69;59;2016/2017;4;89;7;84;2016/2017;4,28;60;2016/2017;4,22;60;2016/2017;3,5;60;2016/2017;3,48;60;2016/2017;3,68;59;2016/2017;56;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/laering-og-forandringsprocesser;68800;Kandidatuddannelse;Aalborg;2 år og 0 måneder;13;2013-2015;533;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Faglig vejledning fra din underviser;;;;;Undervisning;Sundhed og socialvæsen;Offentlig administration forsvar og politi;Øvrige brancher;48;16;12;24;26;2012-2014;365;;;;;Ingen data;;Ingen data;;;Ingen data;;0;2;0;15;38;2;46;48;2016/2017;39;48;2016/2017;64;41;3,35;46;2016/2017;3,51;47;2016/2017;52;15;15;10;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Andet;52;2016/2017;Netværk;Jeg har den uddannelse som er en forudsætning for jobbet;De kompetencer jeg fik fra uddannelsen;Praktik;Studiejob;49;2016/2017;Formidlingsevner;Analytiske kompetencer;Menneskelige kompetencer;Tilegnelse af ny viden;Omsætte teori til praktisk;46;2016/2017;3,71;42;2016/2017;3,96;46;2016/2017;3,77;48;2016/2017;3,96;48;2016/2017;3,83;47;2016/2017;3,7;46;2016/2017;57;33;2;33;10;20;42;2016/2017;3,48;46;2016/2017;8;90;2;52;2016/2017;4,02;46;2016/2017;3,8;46;2016/2017;3,3;46;2016/2017;3,24;46;2016/2017;3,71;45;2016/2017;41;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/laering-og-forandringsprocesser;68800;Kandidatuddannelse;København SV;2 år og 0 måneder;13;2013-2015;533;Projektarbejde;Selvstudie;Forelæsninger;Klasseundervisning;Gruppearbejde;;;;;Undervisning;Sundhed og socialvæsen;Offentlig administration forsvar og politi;Øvrige brancher;48;16;12;24;26;2012-2014;365;;;;;Ingen data;;Ingen data;;;Ingen data;;0;4;0;23;45;4;28;47;2016/2017;37;47;2016/2017;60;41;3,42;52;2016/2017;3,41;51;2016/2017;40;19;15;9;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;47;2016/2017;De kompetencer jeg fik fra uddannelsen;Netværk;Jeg har den uddannelse som er en forudsætning for jobbet;Studiejob;Praktik;49;2016/2017;Formidlingsevner;Tilegnelse af ny viden;Analytiske kompetencer;Evnen til at samarbejde;Menneskelige kompetencer;45;2016/2017;3,93;45;2016/2017;3,7;50;2016/2017;3,68;47;2016/2017;3,66;47;2016/2017;3,84;51;2016/2017;3,92;50;2016/2017;65;31;1;28;11;16;46;2016/2017;3,8;50;2016/2017;2;96;2;47;2016/2017;4,41;49;2016/2017;4,43;49;2016/2017;3,6;50;2016/2017;3,8;50;2016/2017;3,67;49;2016/2017;48;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/anvendt-filosofi;67581,6758;Kandidatuddannelse;Aalborg;1 år og 11 måneder;12;2013-2015;52;Selvstudie;Projektarbejde;Forelæsninger;Klasseundervisning;Gruppearbejde;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,63;40;2016/2017;3,6;40;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4;33;2016/2017;3,95;40;2016/2017;;;Ingen data;;;Ingen data;4;40;2016/2017;4,05;40;2016/2017;48;40;3;29;10;19;33;2016/2017;3,98;40;2016/2017;;;;;Ingen data;4,53;40;2016/2017;4,6;40;2016/2017;4;39;2016/2017;4,05;40;2016/2017;4,03;40;2016/2017;33;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/dansk;64340,64350,77460,63020,31430;Kandidatuddannelse;Aalborg;2 år og 0 måneder;5;2013-2015;40;Selvstudie;Projektarbejde;Forelæsninger;Gruppearbejde;Klasseundervisning;;;;;Undervisning;Offentlig administration forsvar og politi;Sundhed og socialvæsen;Øvrige brancher;58;8;6;28;29;2012-2014;1829;31.800;36.600;40.800;113;2013-2015;1;2013-2016;85;2;2011-2013;121;0;0;0;53;33;0;13;15;2016/2017;38;15;2016/2017;17;45;3,9;21;2016/2017;3,57;21;2016/2017;56;31;6;6;Jeg søgte og blev ansat efter et stillingsopslag;Jeg søgte uopfordret;Andet;Jeg fik job gennem mit netværk;16;2016/2017;Netværk;Jeg har den uddannelse som er en forudsætning for jobbet;De kompetencer jeg fik fra uddannelsen;Studiejob;Praktik;14;2016/2017;Formidlingsevner;Anvendelse af teori og metode inden for mit fagområde;Analytiske kompetencer;Tilegnelse af ny viden;Menneskelige kompetencer;13;2016/2017;4,2;15;2016/2017;3,8;20;2016/2017;3,5;14;2016/2017;4,07;14;2016/2017;4,2;20;2016/2017;4,24;21;2016/2017;25;48;2;36;13;21;15;2016/2017;4,3;20;2016/2017;0;100;0;16;2016/2017;4,7;20;2016/2017;4,55;20;2016/2017;3,9;20;2016/2017;4,1;20;2016/2017;4,2;20;2016/2017;20;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/sprog/engelsk;63040,6406;Kandidatuddannelse;Aalborg;1 år og 11 måneder;10;2013-2015;80;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Klasseundervisning;;;;;Undervisning;Industri;Videnservice;Øvrige brancher;48;9;8;36;40;2012-2014;1600;31.200;35.800;40.900;110;2013-2015;2;2013-2016;89;3;2011-2013;120;4;12;0;28;44;8;16;25;2016/2017;37;25;2016/2017;28;47;3,88;17;2016/2017;3,53;17;2016/2017;68;12;12;4;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Jeg blev headhuntet;25;2016/2017;Jeg har den uddannelse som er en forudsætning for jobbet;De kompetencer jeg fik fra uddannelsen;Praktik;Netværk;Studiejob;25;2016/2017;Formidlingsevner;Fremmedsprogsfærdigheder;Anvendelse af teori og metode inden for mit fagområde;Min evne til at arbejde struktureret og overholde deadlines;Tilegnelse af ny viden;24;2016/2017;3,88;16;2016/2017;3,29;17;2016/2017;3,84;25;2016/2017;3,92;25;2016/2017;3,94;17;2016/2017;4,12;17;2016/2017;22;37;2;28;6;19;16;2016/2017;3,94;16;2016/2017;0;100;0;25;2016/2017;4,24;17;2016/2017;4,59;17;2016/2017;3,71;17;2016/2017;4;17;2016/2017;3,71;17;2016/2017;16;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/historie;64170,6314;Kandidatuddannelse;Aalborg;2 år og 3 måneder;3;2013-2015;90;;;;;;;;;;Undervisning;Offentlig administration forsvar og politi;Kultur og fritid;Øvrige brancher;47;13;11;29;32;2012-2014;996;29.700;36.500;42.900;95;2013-2015;4;2013-2016;58;0;2011-2013;57;3;3;0;34;48;0;14;29;2016/2017;38;29;2016/2017;34;43;;;Ingen data;;;Ingen data;34;24;14;10;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg søgte uopfordret;Andet;29;2016/2017;Netværk;Jeg har den uddannelse som er en forudsætning for jobbet;Praktik;De kompetencer jeg fik fra uddannelsen;Studiejob;28;2016/2017;Formidlingsevner;Tilegnelse af ny viden;Anvendelse af teori og metode inden for mit fagområde;Evnen til at samarbejde;Analytiske kompetencer;28;2016/2017;;;Ingen data;;;Ingen data;3,1;29;2016/2017;3,21;29;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;0;100;0;29;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/informationsvidenskab;62620,64180,31010,31510,31640;Kandidatuddannelse;Aalborg;1 år og 11 måneder;18;2013-2015;369;;;;;;;;;;Information og kommunikation;Undervisning;Offentlig administration forsvar og politi;Øvrige brancher;21;17;12;51;62;2012-2014;2627;35.300;40.500;45.100;189;2013-2015;4;2013-2016;128;7;2011-2013;178;1;6;0;21;52;5;20;94;2016/2017;39;94;2016/2017;138;36;;;Ingen data;;;Ingen data;35;17;13;12;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Andet;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;99;2016/2017;Netværk;De kompetencer jeg fik fra uddannelsen;Praktik;Studiejob;Jeg har den uddannelse som er en forudsætning for jobbet;98;2016/2017;Formidlingsevner;Tværfaglige og projektorienterede kompetencer;Analytiske kompetencer;Evnen til at samarbejde;Menneskelige kompetencer;87;2016/2017;;;Ingen data;;;Ingen data;3,35;94;2016/2017;3,63;94;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;3;97;0;99;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/informationsvidenskab;62620,64180,31010,31510,31640;Kandidatuddannelse;København SV;1 år og 11 måneder;18;2013-2015;369;;;;;;;;;;Information og kommunikation;Undervisning;Offentlig administration forsvar og politi;Øvrige brancher;21;17;12;51;62;2012-2014;2627;35.300;40.500;45.100;189;2013-2015;4;2013-2016;128;7;2011-2013;178;0;0;0;24;58;0;18;38;2016/2017;38;38;2016/2017;46;34;;;Ingen data;;;Ingen data;40;18;13;10;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Andet;40;2016/2017;Praktik;Studiejob;Netværk;De kompetencer jeg fik fra uddannelsen;Jeg har den uddannelse som er en forudsætning for jobbet;40;2016/2017;Analytiske kompetencer;Evnen til at samarbejde;Formidlingsevner;Strategiske kompetencer;Tværfaglige og projektorienterede kompetencer;38;2016/2017;;;Ingen data;;;Ingen data;3,58;38;2016/2017;3,66;38;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;0;100;0;40;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
